N,p,y_max,y_mse,res_max,res_mse
800,0.25,0.029688075049,0.14538795538359087,0.0663224519384,1.0829520355493174
800,0.25,0.0474013508653,0.2050914623397583,0.103924385898,2.0030053217270516
800,0.25,0.0126396066304,0.10081766518659252,0.0477575727592,1.5278051482185449
800,0.25,0.00579990755125,0.007575503676558506,0.0489381675526,0.2133623270283804
800,0.25,0.0252282403,0.0673602644999398,0.056481449594,0.6874549557694715
800,0.25,0.0329067674313,0.46530425233286776,0.110931602031,5.720277759991068
800,0.25,0.0117446312507,0.07439542535565621,0.073396159336,1.5872825101540173
800,0.25,0.0126547337865,0.021808620002770347,0.0331943482016,0.484294298715007
800,0.25,0.0180665047259,0.02881480967865528,0.0451226443528,0.2255867558132849
800,0.5,0.0149662222724,0.02149181881065655,0.0337528618332,0.2573787176775004
800,0.5,0.00476292290932,0.010254844042470011,0.0217025177706,0.23184483010690626
800,0.5,0.0193742952709,0.06475699139482335,0.162499991398,0.6828636074927106
800,0.5,0.0198485270986,0.17174571410526862,0.0648071884157,2.1411198014385517
800,0.5,0.00737914114323,0.01721804426921257,0.0211833870857,0.19485171550032623
800,0.5,0.0128496843736,0.0769824830620775,0.106084518921,2.224055492907427
800,0.5,0.0184744570139,0.039588522792371045,0.0513614908267,0.4240510549182817
800,0.5,0.0200957372482,0.09393453309517623,0.0474163649599,1.5676638135746725
800,0.5,0.0122636995678,0.01008551986633186,0.103034975418,0.19729283362931882
800,0.5,0.0135213108158,0.017431732228430218,0.0407557434064,0.25480600033442585
800,0.75,0.00895666790956,0.023349282611946853,0.0520906147602,0.3089672649591864
800,0.75,0.00971929649158,0.014825295330855567,0.0817073206517,0.24146243486831764
800,0.75,0.0338203870494,0.1951713952959425,0.150626752879,2.640615764976247
800,0.75,0.00623805790724,0.010247159075604338,0.0199044080854,0.13584461519394542
800,0.75,0.00667127661945,0.025778706911636196,0.055768345979,0.6831403321043434
800,0.75,0.016712065716,0.13702911549948923,0.0683023488817,2.0780884181284742
800,0.75,4.22668208366,14602.440753360806,0.728506416318,8.276681258068498
800,0.75,0.0234885104734,0.10902139027750428,0.0943487608329,1.5443699403009155
800,0.75,0.0207214971858,0.0555744172817389,0.119205283012,0.6530134412368986
800,0.75,0.0169282181693,0.02740448730588229,0.0564366899943,0.2901441721162941
800,1.0,0.144436102646,19.90048883626037,0.708933625702,489.88349266514876
800,1.0,0.177300814788,24.00458952315344,0.899493080977,427.0404888559127
800,1.0,4.3281711779,14268.957941563245,1.08567902119,180.81034698849083
800,1.0,4.69065277199,17470.72210910135,4.48030301558,5686.670124042921
800,1.0,0.115410732299,5.441946698608179,0.441102241401,56.39648463497042
800,1.0,4.32104496578,14598.400884032586,0.933086168523,50.445130749646744
800,1.0,0.0962938509349,2.6818758113064196,0.79284142028,49.50671654233108
800,1.0,0.131211920774,5.553529846877844,1.07117818949,94.10086542642865
800,1.0,4.34860090832,14284.739734106204,1.20920024604,278.53232823895394
800,1.0,0.067559779861,4.3940167146680285,0.55618891887,146.65077151434681
1000,0.0,0.0158210481888,0.06321497562334931,0.131895056348,0.9062802657516881
1000,0.0,0.020260819921,0.08936856393144557,0.0454404853403,1.5898526548857674
1000,0.0,0.0489826973538,0.27420965347834525,0.107136736837,1.7249306952125256
1000,0.0,0.0179815951082,0.2674550556829941,0.135308839678,3.7783503501509093
1000,0.0,0.140106775571,2.503240273387454,0.281532374311,13.882274989308609
1000,0.0,0.0301071884083,0.5038881589252665,0.120958617574,8.000491193103338
1000,0.0,0.0324014340156,0.28635899626849765,0.0721974307574,2.6265468855045926
1000,0.0,0.005955347547,0.022020776371490816,0.0306888269858,0.48216382517195233
1000,0.0,0.0295815918856,0.5112982869757129,0.110258745019,7.140583184519545
1000,0.0,0.017211750948,0.13121593393121764,0.145621283935,2.8547737631964356
